response,response_time,trial_ISI,trial_collection_time,trial_shape
space,621,2000,2100,red_square
space,614,2000,2100,red_square
space,462,2500,2600,red_square
None,1100,1000,1100,blue_square
None,2600,2500,2600,yellow_circle
None,1600,1500,1600,red_circle
space,467,2000,2100,red_square
None,2600,2500,2600,yellow_square
None,1100,1000,1100,red_star
None,2600,2500,2600,red_triangle
None,1100,1000,1100,green_star
space,411,2000,2100,red_square
None,1600,1500,1600,blue_triangle
space,412,2500,2600,red_square
None,2600,2500,2600,blue_square
None,1600,1500,1600,green_triangle
None,2600,2500,2600,green_circle
None,1600,1500,1600,red_star
space,499,1000,1100,red_square
space,546,2000,2100,red_square
None,2100,2000,2100,blue_triangle
None,1600,1500,1600,green_triangle
None,2100,2000,2100,blue_star
None,2100,2000,2100,blue_square
None,1600,1500,1600,green_triangle
None,2100,2000,2100,green_triangle
None,1600,1500,1600,green_square
None,2100,2000,2100,yellow_circle
None,1600,1500,1600,yellow_circle
None,1600,1500,1600,blue_square
None,2600,2500,2600,green_triangle
space,409,2500,2600,red_square
None,1100,1000,1100,blue_circle
None,1100,1000,1100,red_star
None,1600,1500,1600,yellow_triangle
None,2107,2000,2100,yellow_square
space,467,2500,2600,red_square
space,501,1500,1600,red_square
None,1100,1000,1100,red_star
None,2100,2000,2100,blue_square
None,2600,2500,2600,green_square
None,1100,1000,1100,yellow_circle
None,2100,2000,2100,blue_star
None,1100,1000,1100,red_triangle
None,2600,2500,2600,yellow_star
None,2600,2500,2600,red_circle
None,1100,1000,1100,red_circle
None,2600,2500,2600,red_circle
None,2100,2000,2100,green_square
None,1100,1000,1100,yellow_square
None,2600,2500,2600,red_triangle
None,1100,1000,1100,yellow_star
None,1100,1000,1100,green_circle
None,2100,2000,2100,green_square
None,1600,1500,1600,yellow_star
space,490,1500,1600,red_square
None,1600,1500,1600,green_star
space,443,1500,1600,red_square
space,443,2500,2600,red_square
space,396,2000,2100,red_square
space,339,2000,2100,red_square
None,2601,2500,2600,blue_triangle
None,2100,2000,2100,red_circle
None,1600,1500,1600,blue_star
space,436,1500,1600,red_square
None,1600,1500,1600,green_circle
None,2100,2000,2100,blue_circle
None,2100,2000,2100,yellow_triangle
space,411,2500,2600,red_square
None,1600,1500,1600,red_star
None,2600,2500,2600,red_triangle
None,2100,2000,2100,blue_circle
None,1100,1000,1100,red_circle
None,1600,1500,1600,green_square
None,2100,2000,2100,blue_square
None,1100,1000,1100,yellow_triangle
None,2600,2500,2600,blue_square
None,2600,2500,2600,yellow_circle
space,520,1000,1100,red_square
space,562,1500,1600,red_square
None,2100,2000,2100,red_triangle
space,543,1000,1100,red_square
None,1600,1500,1600,blue_square
None,2100,2000,2100,red_triangle
None,2600,2500,2600,yellow_square
None,1100,1000,1100,yellow_triangle
None,1600,1500,1600,yellow_circle
None,2600,2500,2600,red_circle
space,397,2500,2600,red_square
space,504,1500,1600,red_square
None,1600,1500,1600,green_triangle
None,1600,1500,1600,red_triangle
None,2100,2000,2100,blue_triangle
space,368,1500,1600,red_circle
None,2100,2000,2100,blue_circle
None,2100,2000,2100,blue_star
space,502,1500,1600,red_square
space,430,1000,1100,red_square
space,471,2500,2600,red_square
None,1100,1000,1100,green_triangle
space,450,1500,1600,red_square
None,2100,2000,2100,yellow_star
None,2100,2000,2100,yellow_circle
None,2600,2500,2600,yellow_star
space,446,2000,2100,red_square
None,1100,1000,1100,yellow_circle
None,2100,2000,2100,green_square
None,2100,2000,2100,red_circle
None,1600,1500,1600,red_star
None,1600,1500,1600,blue_triangle
None,1600,1500,1600,blue_square
None,2100,2000,2100,green_square
space,425,2000,2100,red_square
None,1600,1500,1600,red_circle
space,543,2000,2100,red_square
None,1600,1500,1600,red_star
None,1101,1000,1100,yellow_star
None,1600,1500,1600,green_star
None,2600,2500,2600,green_square
space,545,1500,1600,red_square
None,2600,2500,2600,yellow_star
None,1100,1000,1100,red_triangle
space,628,2000,2100,red_square
space,1051,1500,1600,red_square
None,1100,1000,1100,red_triangle
None,2100,2000,2100,blue_square
None,1100,1000,1100,yellow_circle
None,1600,1500,1600,blue_square
None,2100,2000,2100,yellow_triangle
None,2600,2500,2600,blue_star
space,525,1000,1100,red_square
space,585,1500,1600,red_square
None,1600,1500,1600,yellow_triangle
None,2600,2500,2600,yellow_circle
None,1100,1000,1100,green_triangle
None,1600,1500,1600,blue_circle
None,2100,2000,2100,yellow_triangle
None,1600,1500,1600,yellow_square
space,384,2000,2100,red_square
space,425,2500,2600,red_square
None,1100,1000,1100,blue_square
space,483,1500,1600,red_square
space,390,2000,2100,red_square
None,1100,1000,1100,blue_star
None,1100,1000,1100,yellow_square
None,2100,2000,2100,red_circle
space,557,2000,2100,red_square
space,434,2500,2600,red_square
None,2601,2500,2600,blue_star
None,1100,1000,1100,red_star
None,1601,1500,1600,green_circle
None,2100,2000,2100,green_triangle
None,1100,1000,1100,green_triangle
None,1101,1000,1100,yellow_star
space,472,1500,1600,red_square
space,558,2000,2100,red_square
None,2100,2000,2100,green_circle
space,472,1000,1100,red_square
None,1100,1000,1100,green_square
space,470,1500,1600,red_square
None,1100,1000,1100,green_star
space,468,2500,2600,red_square
None,1100,1000,1100,green_triangle
None,1100,1000,1100,green_triangle
space,464,1500,1600,red_square
space,422,2500,2600,red_square
None,2100,2000,2100,green_star
space,386,2000,2100,red_square
space,370,2500,2600,red_square
None,1100,1000,1100,red_star
space,484,2500,2600,red_square
None,1600,1500,1600,green_circle
None,2100,2000,2100,yellow_square
None,2600,2500,2600,blue_star
space,415,2500,2600,red_square
None,2600,2500,2600,yellow_star
